candidate,TP,SL,feePct,totalSignals,actualEntries,ignoredSignals,completedTrades,longEntries,shortEntries,tpHits,slHits,bailoutHits,openAtSessionEnd,winRate,avgHoldMs,medianHoldMs,maxHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt,startEqUsdt,endEqUsdt,maxDrawdownUsdt,tradesPerHour
A,0.2,0.25,0.0005,165,34,131,34,18,16,18,16,0,0,0.5294117647058824,467723.14705882355,466644,566959,-0.035000000000009926,0.5033427,-0.5383427000000099,3.488372093023256,2.9500293930232444,0.5383427000000114,136
A,0.2,0.3,0.001,165,16,149,16,8,8,8,8,0,0,0.5,545941,554063,659568,-0.10920000000000613,0.47378240000000005,-0.5829824000000061,3.488372093023256,2.90538969302325,0.5829824000000059,64
A,0.2,0.3,0.00075,165,21,144,21,11,10,11,10,0,0,0.5238095238095238,535819.2380952381,515289,659568,-0.10500000000000995,0.46639425000000007,-0.57139425000001,3.488372093023256,2.9169778430232447,0.5713942500000111,84
A,0.2,0.3,0.0005,165,25,140,25,12,13,12,13,0,0,0.48,531827.04,523251,659568,-0.21000000000001195,0.37016000000000004,-0.580160000000012,3.488372093023256,2.9082120930232436,0.5801600000000122,100
A,0.2,0.5,0.001,165,165,0,62,102,63,62,0,0,103,1,324796.6612903226,320879,515289,1.9655999999999687,1.8359487999999997,0.129651199999969,3.488372093023256,3.618023293023219,0,248
A,0.2,0.5,0.00075,165,165,0,62,102,63,62,0,0,103,1,324796.6612903226,320879,515289,1.9655999999999687,1.3769616000000002,0.5886383999999685,3.488372093023256,4.0770104930232245,0,248
A,0.2,0.5,0.0005,165,165,0,62,102,63,62,0,0,103,1,324796.6612903226,320879,515289,1.9655999999999687,0.9179743999999999,1.0476255999999688,3.488372093023256,4.5359976930232175,0,248
A,0.25,0.1,0.001,165,33,132,33,18,15,18,15,0,0,0.5454545454545454,436552.75757575757,438192,598749,0.4088000000000042,0.9769003999999999,-0.5681003999999956,3.488372093023256,2.920271693023261,0.5681003999999947,132
A,0.25,0.1,0.00075,165,44,121,44,22,22,22,22,0,0,0.5,403571.0227272727,414083,598749,0.41160000000000163,0.9768380999999997,-0.5652380999999981,3.488372093023256,2.923133993023259,0.5652380999999966,176
A,0.25,0.1,0.0005,165,142,23,108,88,54,54,54,0,34,0.5,291064.8333333333,295993,598749,1.0724000000000053,1.5990072000000002,-0.5266071999999948,3.488372093023256,2.9617648930232643,0.5266071999999915,432
A,0.25,0.15,0.001,165,25,140,25,12,13,12,13,0,0,0.48,447183.04,442326,598749,0.16799999999999843,0.740096,-0.5720960000000015,3.488372093023256,2.9162760930232543,0.5720960000000015,100
A,0.25,0.15,0.00075,165,42,123,42,22,20,22,20,0,0,0.5238095238095238,413523.78571428574,432665,598749,0.38920000000000216,0.9325071000000003,-0.543307099999998,3.488372093023256,2.9450649930232577,0.543307099999998,168
A,0.25,0.15,0.0005,165,153,12,102,95,58,54,48,0,51,0.5294117647058824,305798.89215686277,307621,598749,0.973000000000007,1.5100855000000004,-0.5370854999999934,3.488372093023256,2.9512865930232675,0.5370854999999883,408
A,0.25,0.2,0.001,165,22,143,22,11,11,11,11,0,0,0.5,509234.5,513127,598749,0.06579999999999984,0.6514018,-0.5856018000000002,3.488372093023256,2.902770293023255,0.585601800000001,88
A,0.25,0.2,0.00075,165,33,132,33,18,15,18,15,0,0,0.5454545454545454,485935.1515151515,475278,598749,0.19740000000000552,0.7328338500000001,-0.5354338499999947,3.488372093023256,2.952938243023262,0.5354338499999938,132
A,0.25,0.2,0.0005,165,48,117,48,24,24,24,24,0,0,0.5,446744.1875,446900,598749,0.1428000000000034,0.7105658000000002,-0.5677657999999969,3.488372093023256,2.920606293023259,0.567765799999997,192
A,0.25,0.25,0.001,165,21,144,21,11,10,11,10,0,0,0.5238095238095238,522178.1904761905,513127,598749,0.043399999999996365,0.6218534000000001,-0.5784534000000038,3.488372093023256,2.9099186930232537,0.5784534000000021,84
A,0.25,0.25,0.00075,165,25,140,25,12,13,12,13,0,0,0.48,511761.32,497379,598749,-0.033600000000003245,0.5552232,-0.5888232000000033,3.488372093023256,2.899548893023252,0.5888232000000038,100
A,0.25,0.25,0.0005,165,42,123,42,22,20,22,20,0,0,0.5238095238095238,471165.5,473588,598749,0.08259999999999851,0.6218246999999999,-0.5392247000000014,3.488372093023256,2.9491473930232552,0.5392247000000006,168
A,0.25,0.3,0.001,165,16,149,16,8,8,8,8,0,0,0.5,565741.5,559726,659568,-0.06020000000000296,0.4738314,-0.5340314000000029,3.488372093023256,2.9543406930232536,0.5340314000000022,64
A,0.25,0.3,0.00075,165,22,143,22,11,11,11,11,0,0,0.5,560111.3181818182,554063,659568,-0.0784000000000063,0.4886595,-0.5670595000000063,3.488372093023256,2.9213125930232486,0.5670595000000072,88
A,0.25,0.3,0.0005,165,34,131,34,18,16,18,16,0,0,0.5294117647058824,532613.3823529412,537930,659568,-0.043400000000002326,0.5034631,-0.5468631000000024,3.488372093023256,2.941508993023255,0.5468631000000008,136
A,0.25,0.5,0.001,165,165,0,54,102,63,54,0,0,111,1,368531.6111111111,345591,598749,2.0635999999999997,1.5990715999999996,0.46452840000000006,3.488372093023256,3.9529004930232574,0,216
A,0.25,0.5,0.00075,165,165,0,54,102,63,54,0,0,111,1,368531.6111111111,345591,598749,2.0635999999999997,1.1993037000000002,0.8642962999999995,3.488372093023256,4.352668393023259,0,216
A,0.25,0.5,0.0005,165,165,0,54,102,63,54,0,0,111,1,368531.6111111111,345591,598749,2.0635999999999997,0.7995357999999998,1.2640642,3.488372093023256,4.752436293023251,0,216
A,0.3,0.1,0.001,165,35,130,35,18,17,18,17,0,0,0.5142857142857142,473211.0857142857,503006,688259,0.49140000000000095,1.036203,-0.544802999999999,3.488372093023256,2.9435690930232576,0.5448029999999981,140
