candidate,TP,SL,attemptedEntries,completedTrades,openAtSessionEnd,tpHits,slHits,winRate,avgHoldMs,grossPnlUsdt,feesUsdt,netPnlUsdt
B,0.75,1,96,0,96,0,0,0,0,0,0,0
B,0.75,1.5,96,0,96,0,0,0,0,0,0,0
B,1,0.08,96,32,64,0,32,0,165074.625,-0.4858000000000041,0.9480394000000003,-1.4338394000000045
B,1,0.1,96,28,68,0,28,0,171685.2142857143,-0.4955999999999949,0.8294580000000001,-1.325057999999995
B,1,0.12,96,26,70,0,26,0,181369.5,-0.49840000000000223,0.7701652000000001,-1.2685652000000023
B,1,0.15,96,19,77,0,19,0,216135.26315789475,-0.42979999999999324,0.5625578,-0.9923577999999933
B,1,0.2,96,15,81,0,15,0,330783.6666666667,-0.47599999999999687,0.4440492000000001,-0.9200491999999969
B,1,0.25,96,15,81,0,15,0,353916.13333333336,-0.5754,0.4441486000000001,-1.0195486000000002
B,1,0.3,96,15,81,0,15,0,430509.8,-0.6790000000000055,0.4442522000000001,-1.1232522000000056
B,1,0.5,96,0,96,0,0,0,0,0,0,0
B,1,0.75,96,0,96,0,0,0,0,0,0,0
B,1,1,96,0,96,0,0,0,0,0,0,0
B,1,1.5,96,0,96,0,0,0,0,0,0,0
B,1.5,0.08,96,32,64,0,32,0,165074.625,-0.4858000000000041,0.9480394000000003,-1.4338394000000045
B,1.5,0.1,96,28,68,0,28,0,171685.2142857143,-0.4955999999999949,0.8294580000000001,-1.325057999999995
B,1.5,0.12,96,26,70,0,26,0,181369.5,-0.49840000000000223,0.7701652000000001,-1.2685652000000023
B,1.5,0.15,96,19,77,0,19,0,216135.26315789475,-0.42979999999999324,0.5625578,-0.9923577999999933
B,1.5,0.2,96,15,81,0,15,0,330783.6666666667,-0.47599999999999687,0.4440492000000001,-0.9200491999999969
B,1.5,0.25,96,15,81,0,15,0,353916.13333333336,-0.5754,0.4441486000000001,-1.0195486000000002
B,1.5,0.3,96,15,81,0,15,0,430509.8,-0.6790000000000055,0.4442522000000001,-1.1232522000000056
B,1.5,0.5,96,0,96,0,0,0,0,0,0,0
B,1.5,0.75,96,0,96,0,0,0,0,0,0,0
B,1.5,1,96,0,96,0,0,0,0,0,0,0
B,1.5,1.5,96,0,96,0,0,0,0,0,0,0
C,0.1,0.08,152,143,9,81,62,0.5664335664335665,185518.76223776225,0.398999999999977,4.235438200000001,-3.836438200000024
C,0.1,0.1,152,138,14,81,57,0.5869565217391305,189789,0.3219999999999835,4.087232799999999,-3.7652328000000153
C,0.1,0.12,152,137,15,81,56,0.5912408759124088,192793.98540145985,0.2701999999999846,4.057573799999999,-3.787373800000015
