symbol,event,window,observations,mean_ret,median_ret,pos_pct,neg_pct,mfe,mae,baseline,diff,tp_hit,sl_hit,ambiguous,category
B-TIA_USDT,B_BEAR_T1_0.55-0.65,60000,35,-0.00011366553379041266,-0.0003027092477674859,0.4,0.5142857142857142,0.000679916265692961,0.0008627540697352502,-0.00012003569071971624,0.0000063701569293035854,13,7,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.55-0.65,180000,34,-0.00014443348261347391,0,0.35294117647058826,0.5,0.001173384911999629,0.0015651912830825234,-0.00034374153702016895,0.00019930805440669503,16,15,0,B) WEAK
B-TIA_USDT,A_BULL_T1_0.75-0.85,5000,59,0.000046235916371551144,0,0.2542372881355932,0.15254237288135594,0.00022882882081011778,0.00018774697950865686,0.000020118075413262006,0.000026117840958289138,2,0,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.75-0.85,10000,59,0.00004642631102726087,0,0.2542372881355932,0.2033898305084746,0.0003059933826319396,0.00022884385794207473,0.000012216844508974964,0.000034209466518285907,5,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.75-0.85,30000,59,0.00008790093119684786,0,0.4067796610169492,0.3559322033898305,0.0005941774348911562,0.0004344217411811734,0.0000688772430582712,0.000019023688138576663,12,5,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.75-0.85,60000,58,0.00008420352565126436,0.000303536196691422,0.5344827586206896,0.3620689655172414,0.0007588520452283127,0.0005319512064040012,0.00012003569071971624,-0.00003583216506845189,19,10,0,C) NO OBSERVED EDGE
B-TIA_USDT,A_BULL_T1_0.75-0.85,180000,53,0.000299200865905319,0.0003045530683721303,0.6415094339622641,0.2830188679245283,0.0013504203556455084,0.000824508251575036,0.00034374153702016895,-0.00004454067111484992,32,14,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.75-0.85,5000,36,-0.000008403810521551379,0,0.2777777777777778,0.19444444444444445,0.00024436228828069996,0.0002527562945716236,-0.000020118075413262006,0.000011714264891710627,1,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.75-0.85,10000,36,-0.000058817301241570896,0,0.2777777777777778,0.3333333333333333,0.0002948017692262935,0.00031171638736467107,-0.000012216844508974964,-0.00004660045673259593,1,1,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.75-0.85,30000,36,-0.00018144259428680458,0,0.25,0.3888888888888889,0.0004377125951860316,0.0006317075256611351,-0.0000688772430582712,-0.00011256535122853339,5,8,0,B) WEAK
B-TIA_USDT,B_BEAR_T1_0.75-0.85,60000,36,-0.000026061184557874534,0,0.4166666666666667,0.4722222222222222,0.0006146881281366382,0.0007833918916879905,-0.00012003569071971624,0.00009397450616184171,7,9,0,C) NO OBSERVED EDGE
B-TIA_USDT,B_BEAR_T1_0.75-0.85,180000,36,-0.00013737426484333655,0,0.3611111111111111,0.4722222222222222,0.0010682061695815714,0.0013568578674069485,-0.00034374153702016895,0.0002063672721768324,11,15,0,B) WEAK
B-TIA_USDT,D_SELL_SURGE,5000,16,0.00011400515255225402,0,0.4375,0.1875,0.0002654692018606702,0.00022732549452159144,-0.000020118075413262006,0.00013412322796551603,0,0,0,B) WEAK
B-TIA_USDT,D_SELL_SURGE,10000,16,0.00007602279965748121,0,0.4375,0.25,0.00036023280948124385,0.00026514125613102604,-0.000012216844508974964,0.00008823964416645617,1,0,0,C) NO OBSERVED EDGE
B-TIA_USDT,D_SELL_SURGE,30000,16,-0.000265140672918261,-0.0003024345985180372,0.375,0.5625,0.0004929446074498525,0.0006820684466605233,-0.0000688772430582712,-0.00019626342985998982,3,4,0,B) WEAK
B-TIA_USDT,D_SELL_SURGE,60000,16,-0.0004731964808302289,0,0.4375,0.5,0.0005877770926339771,0.0012124253994933115,-0.00012003569071971624,-0.00035316079011051265,3,8,0,B) WEAK
B-TIA_USDT,D_SELL_SURGE,180000,15,-0.0009704127596115061,-0.0012101043715020768,0.13333333333333333,0.7333333333333333,0.0009474918799888923,0.0018188066074353183,-0.00034374153702016895,-0.0006266712225913372,6,9,0,B) WEAK
